Mese,Anno ,Incidenti,Morti,Feriti,Incidenti mortali,Percentuale incidenti,Percentuale incidenti mortali,Percentuale morti,Percentuale feriti,Indice di mortalità generico,Indice di gravità,Indice di lesività,Indice specifico di mortalità ,Indice specifico di incidentalità
     Febbraio,2002,17746,415,24904,371,"6,69","0,14","5,95","6,58","2,34","1,64","140,34","111,86","2,09"
     Marzo,2002,21679,551,30527,486,"8,17","0,18","7,89","8,07","2,54","1,77","140,81","113,37","2,24"
1° Trimestre,2002,59078,1464,83612,1302,"22,26","0,49","20,97","22,09","2,48","1,72","141,53","112,44","2,20"
     Aprile,2002,21145,488,30709,449,"7,97","0,17","6,99","8,11","2,31","1,56","145,23","108,69","2,12"
     Maggio,2002,24041,573,34085,525,"9,06","0,20","8,21","9,01","2,38","1,65","141,78","109,14","2,18"
     Giugno,2002,24431,615,34263,558,"9,21","0,21","8,81","9,05","2,52","1,76","140,24","110,22","2,28"
2° Trimestre,2002,69617,1676,99057,1532,"26,23","0,58","24,01","26,17","2,41","1,66","142,29","109,40","2,20"
     Luglio,2002,25619,762,36267,692,"9,65","0,26","10,92","9,58","2,97","2,06","141,56","110,12","2,70"
     Agosto,2002,20306,622,30742,571,"7,65","0,22","8,91","8,12","3,06","1,98","151,39","108,93","2,81"
     Settembre,2002,22511,571,31635,525,"8,48","0,20","8,18","8,36","2,54","1,77","140,53","108,76","2,33"
3° Trimestre,2002,68436,1955,98644,1788,"25,79","0,67","28,01","26,06","2,86","1,94","144,14","109,34","2,61"
     Ottobre,2002,23515,598,32537,543,"8,86","0,20","8,57","8,60","2,54","1,81","138,37","110,13","2,31"
     Novembre,2002,22725,586,32464,538,"8,56","0,20","8,40","8,58","2,58","1,77","142,86","108,92","2,37"
     Dicembre,2002,22031,701,32178,629,"8,30","0,24","10,04","8,50","3,18","2,13","146,06","111,45","2,86"
4° Trimestre,2002,68271,1885,97179,171,"25,72","0,64","27,01","25,68","2,76","1,90","142,34","110,23","2,51"
